Tí,Điền Trạch,L.Bạch Hổ,T12
Tí,Điền Trạch,L.Dục,T12
Sửu,Quan Lộc,L.Thiên Khôi,T1
Sửu,Quan Lộc,L.Đới,T1
Dần,Nô Bộc,L.Thiên Khốc,T2
Dần,Nô Bộc,L.Thiên Mã,T2
Dần,Nô Bộc,L.Lâm,T2
Mão,Thiên Di,L.Quán Sách,T3
Mão,Thiên Di,L.Vượng,T3
Thìn,Tật Ách,L.Thái Tuế,T4
Thìn,Tật Ách,L.Suy,T4
Tỵ,Tài Bạch,L.Đà La,T5
Tỵ,Tài Bạch,L.Thiên Không,T5
Tỵ,Tài Bạch,L.Bệnh,T5
Ngọ,Tử Tức,L.Tang Môn,T6
Ngọ,Tử Tức,L.Lộc Tồn,T6
Ngọ,Tử Tức,L.Bác Sĩ,T6
Ngọ,Tử Tức,L.Tử,T6
Mùi,Phu Thê,L.Kình Dương,T7
Mùi,Phu Thê,L.Thiên Việt,T7
Mùi,Phu Thê,L.Mộ,T7
Thân,Huynh Đệ,L.Tuyệt,T8
Dậu,Mệnh,L.Dưỡng,T9
Tuất,Phụ Mẫu,L.Thiên Hư,T10
Tuất,Phụ Mẫu,L.Thai,T10
Hợi,Phúc Đức,L.Sinh,T11
